   OFFSET       SIZE
        0      47446
    47446      43053
    90499      32917
   123416      37282
   160698      46099
   206797      63813
   270610      39705
   310315      36019
   346334      33323
   379657      37119
   416776      60140
   476916      33359
   510275      40423
   550698      33903
   584601      36885
   621486      33072
   654558      43249
   697807      30607
   728414      38718
   767132      34975
   802107      41297
   843404      37301
   880705      37084
   917789      33622
   951411      34408
   985819      33816
  1019635      41999
  1061634      33340
  1094974      23274
  1118248      40657
  1158905      39708
  1198613      52236
  1250849      33608
  1284457      34004
  1318461      49025
  1367486      65240
  1432726      34761
  1467487      49329
  1516816      32978
  1549794      34677
  1584471      38949
  1623420      36373
  1659793      41077
  1700870      36461
  1737331      52643
  1789974      63719
  1853693      51747
  1905440      65536
  1970976      43375
  2014351      34756
  2049107      21045
  2070152      37210
  2107362      34402
  2141764      42553
  2184317      33358
  2217675      33789
  2251464      40171
  2291635      46918
  2338553      36661
  2375214      36736
  2411950      35359
  2447309      32871
  2480180      34037
  2514217      61889
  2576106      34609
  2610715      53941
  2664656      41460
  2706116      36390
  2742506      35898
  2778404      38603
  2817007      33362
  2850369      41263
  2891632      48575
  2940207      42767
  2982974      23484
  3006458      32880
  3039338      52737
  3092075      47545
  3139620      40305
  3179925      34698
  3214623      42777
  3257400      64542
  3321942      33054
  3354996      42344
  3397340      27578
