   OFFSET       SIZE
        0       2296
     2296       2630
     4926       2546
     7472       2558
    10030       2308
    12338       2445
    14783       2123
    16906       2675
    19581       2128
    21709       2243
    23952       3006
    26958       1219
    28177       1917
    30094       2135
    32229       2097
    34326       2286
    36612       2315
    38927       2191
    41118       4096
    45214       2232
    47446       2054
    49500       2049
    51549       2489
    54038       2613
    56651       2358
    59009       3451
    62460       2120
    64580       2677
    67257       2256
    69513       2124
    71637       1538
    73175       3144
    76319       3585
    79904       3102
    83006       2187
    85193       3044
    88237       2262
    90499       2223
    92722       2057
    94779       3241
    98020       2719
   100739       3426
   104165       2132
   106297       2646
   108943       2278
   111221       2191
   113412       3689
   117101       1112
   118213       2997
   121210       2206
   123416       2201
   125617       2589
   128206       3225
   131431       2169
   133600       2402
   136002       2325
   138327       2214
   140541       2316
   142857       2558
   145415       2678
   148093       2531
   150624       2258
   152882       2555
   155437       2260
   157697       2236
   159933       3586
   163519       1603
   165122       2096
   167218       2475
   169693       2353
   172046       2378
   174424       3005
   177429       2843
   180272       2272
   182544       2931
   185475       2229
   187704       3521
   191225       2658
   193883       2246
   196129       2097
   198226       2075
   200301       2476
   202777       3616
   206393       2179
   208572       2231
   210803       2272
   213075       2203
   215278       2453
   217731       2793
   220524       2533
   223057       3035
   226092       2217
   228309       2479
   230788       2170
   232958       2488
   235446       2422
   237868       2762
   240630       2313
   242943       2201
   245144       3197
   248341       2802
   251143       2227
   253370       2159
   255529       2309
   257838       2680
   260518       2970
   263488       2062
   265550       2165
   267715       2895
   270610       2211
   272821       2331
   275152       2268
   277420       2289
   279709       1330
   281039       2441
   283480       1284
   284764       2446
   287210       2284
   289494       1928
   291422       1827
   293249       2430
   295679       2863
   298542       2225
   300767       1193
   301960       2432
   304392       3975
   308367       1948
   310315       2268
   312583       2594
   315177       3925
   319102       2246
   321348       2932
   324280       2407
   326687       2334
   329021       2423
   331444       2313
   333757       2058
   335815       3326
   339141       2084
   341225       2978
   344203       2069
   346272       1547
   347819       2605
   350424       2827
   353251       1868
   355119       2334
   357453       2945
   360398       2434
   362832       2520
   365352       2123
   367475       2450
   369925       3231
   373156       2040
   375196       1206
   376402       3255
   379657       2128
   381785       1983
   383768       2075
   385843       2402
   388245       2545
   390790       2563
   393353       2504
   395857       2448
   398305       2925
   401230       2545
   403775       3023
   406798       2259
   409057       3704
   412761       2524
   415285       1491
   416776       2222
   418998       2563
   421561       3676
   425237       3295
   428532       2793
   431325       2874
   434199       2983
   437182       1710
   438892       2215
   441107       2139
   443246       2866
   446112       2119
   448231       2435
   450666       3356
   454022       2251
   456273       2626
   458899       3195
   462094       2058
   464152       2690
   466842       2866
   469708       3125
   472833       2281
   475114       1802
   476916       1529
   478445       4096
   482541       1139
   483680       1860
   485540       3214
   488754       2737
   491491       2222
   493713       2563
   496276       2421
   498697       3078
   501775       2115
   503890       2652
   506542       2250
   508792       1483
   510275       2200
   512475       2347
   514822       2406
   517228       2444
   519672       2290
   521962       3100
   525062       2479
   527541       2115
   529656       2151
   531807       2089
   533896       3590
   537486       2470
   539956       2671
   542627       2406
   545033       2534
   547567       2371
   549938       2076
   552014       2569
   554583       2467
   557050       2083
   559133       1058
   560191       3058
   563249       2558
   565807       2387
   568194       2288
   570482       2053
   572535       3100
   575635       1318
   576953       2055
   579008       2059
   581067       2198
   583265       1336
   584601       1327
   585928       2350
   588278       2310
   590588       3496
   594084       2089
   596173       2084
   598257       2311
   600568       2236
   602804       2909
   605713       3288
   609001       1035
   610036       3015
   613051       3093
   616144       2201
   618345       2305
   620650       2075
   622725       2634
   625359       2913
   628272       2105
   630377       1864
   632241       1888
   634129       1524
   635653       2672
   638325       2538
   640863       2098
   642961       2397
   645358       3162
   648520       2311
   650831       2217
   653048       1510
   654558       2727
   657285       2458
   659743       3079
   662822       2338
   665160       2952
   668112       2062
   670174       2189
   672363       2208
   674571       2276
   676847       2135
   678982       2598
   681580       2907
   684487       2131
   686618       2321
   688939       2180
   691119       2075
   693194       2338
   695532       2107
   697639       2707
   700346       2273
   702619       2059
   704678       3061
   707739       4096
   711835       2556
   714391       2899
   717290       2136
   719426       2702
   722128       2241
   724369       1223
   725592       2782
   728374       2208
   730582       2272
   732854       2201
   735055       3074
   738129       1597
   739726       2416
   742142       2367
   744509       2196
   746705       2060
   748765       2073
   750838       2161
   752999       2975
   755974       2622
   758596       2845
   761441       3851
   765292       1840
   767132       2158
   769290       2752
   772042       2050
   774092       1036
   775128       2205
   777333       2161
   779494       2136
   781630       3227
   784857       3088
   787945       3901
   791846       1573
   793419       2195
   795614       2177
   797791       2147
   799938       2144
   802082       1567
   803649       2227
   805876       1923
   807799       2368
   810167       2583
   812750       3195
   815945       2468
   818413       2823
   821236       2394
   823630       2093
   825723       2794
   828517       2090
   830607       2945
   833552       2120
   835672       2060
   837732       2374
   840106       2129
   842235       1169
   843404       2376
   845780       2676
   848456       2076
   850532       2196
   852728       2181
   854909       1400
   856309       2104
   858413       2853
   861266       2513
   863779       2634
   866413       1102
   867515       2675
   870190       2702
   872892       1515
   874407       1301
   875708       2345
   878053       2652
   880705       1557
   882262       2231
   884493       2543
   887036       2143
   889179       2112
   891291       2641
   893932       3868
   897800       2085
   899885       1619
   901504       3225
   904729       1169
   905898       2706
   908604       2451
   911055       2074
   913129       2561
   915690       2099
   917789       2609
   920398       2949
   923347       2276
   925623       2154
   927777       2971
   930748       3108
   933856       2731
   936587       2432
   939019       1743
   940762       2561
   943323       2249
   945572       2196
   947768       2169
   949937       1474
   951411       2128
   953539       2132
   955671       2483
   958154       2867
   961021       2365
   963386       2154
   965540       2331
   967871       2105
   969976       2174
   972150       2149
   974299       2227
   976526       2496
   979022       2185
   981207       2815
   984022       1797
   985819       2373
   988192       1954
   990146       2844
   992990       3158
   996148       2306
   998454       2349
  1000803       2726
  1003529       2610
  1006139       2517
  1008656       1706
  1010362       2302
  1012664       2201
  1014865       2526
  1017391       2244
  1019635       2351
  1021986       2660
  1024646       2116
  1026762       1861
  1028623       2582
  1031205       2192
  1033397       2214
  1035611       2338
  1037949       2247
  1040196       2616
  1042812       2753
  1045565       2677
  1048242       2411
  1050653       2447
  1053100       3213
  1056313       4096
  1060409       1225
  1061634       2255
  1063889       1506
  1065395       2445
  1067840       3478
  1071318       2276
  1073594       2157
  1075751       2835
  1078586       2382
  1080968       2797
  1083765       2676
  1086441       2551
  1088992       2244
  1091236       2230
  1093466       1508
  1094974       2055
  1097029       3260
  1100289       3255
  1103544       1575
  1105119       2092
  1107211       2212
  1109423       2598
  1112021       2394
  1114415       2060
  1116475       1773
  1118248       2288
  1120536       2522
  1123058       2118
  1125176       2352
  1127528       2293
  1129821       2137
  1131958       2991
  1134949       2180
  1137129       2702
  1139831       2948
  1142779       2364
  1145143       1040
  1146183       2855
  1149038       3000
  1152038       2788
  1154826       4079
  1158905       3211
  1162116       2517
  1164633       2215
  1166848       2126
  1168974       2240
  1171214       2050
  1173264       1544
  1174808       1532
  1176340       2284
  1178624       2060
  1180684       2596
  1183280       1591
  1184871       2185
  1187056       3883
  1190939       2253
  1193192       3164
  1196356       2257
  1198613       2255
  1200868       2167
  1203035       2515
  1205550       2181
  1207731       2068
  1209799       2567
  1212366       2100
  1214466       2453
  1216919       1256
  1218175       2534
  1220709       1301
  1222010       2057
  1224067       2218
  1226285       2850
  1229135       2695
  1231830       3657
  1235487       3635
  1239122       4096
  1243218       3142
  1246360       3295
  1249655       1194
  1250849       2147
  1252996       2180
  1255176       2297
  1257473       2659
  1260132       2101
  1262233       2187
  1264420       2089
  1266509       2514
  1269023       3370
  1272393       2278
  1274671       2615
  1277286       2664
  1279950       2523
  1282473       1984
  1284457       2604
  1287061       2138
  1289199       3807
  1293006       2316
  1295322       1985
  1297307       2306
  1299613       1133
  1300746       2157
  1302903       2268
  1305171       2253
  1307424       1125
  1308549       2788
  1311337       3086
  1314423       2553
  1316976       1485
  1318461       2225
  1320686       2980
  1323666       2194
  1325860       2802
  1328662       2337
  1330999       2173
  1333172       2150
  1335322       2376
  1337698       2608
  1340306       1674
  1341980       2234
  1344214       4096
  1348310       2105
  1350415       2791
  1353206       2205
  1355411       2776
  1358187       3005
  1361192       4096
  1365288       2198
  1367486       1969
  1369455       2316
  1371771       2150
  1373921       3059
  1376980       2201
  1379181       2434
  1381615       2777
  1384392       2391
  1386783       3103
  1389886       2308
  1392194       2483
  1394677       1889
  1396566       2140
  1398706       2121
  1400827       2354
  1403181       2156
  1405337       2302
  1407639       2356
  1409995       2093
  1412088       3136
  1415224       3221
  1418445       3508
  1421953       3690
  1425643       2144
  1427787       2730
  1430517       2209
  1432726       2240
  1434966       2962
  1437928       2105
  1440033       2530
  1442563       2337
  1444900       1732
  1446632       2300
  1448932       2506
  1451438       2971
  1454409       2683
  1457092       2163
  1459255       2337
  1461592       2284
  1463876       2343
  1466219       1268
  1467487       3176
  1470663       1090
  1471753       2869
  1474622       2095
  1476717       1078
  1477795       2385
  1480180       2130
  1482310       3643
